Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Marque,Modele,Price_EUR
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5,Land,Rover Range Rover 2.2L Pure,29700
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5,Land,Rover Freelander 2 TD4 SE,19250
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7,Mitsubishi,Pajero Sport 4X4,16500
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5,Honda,Amaze S i-Dtech,5940
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5,Maruti,Swift DDiS VDI,6589
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5,Renault,Duster 85PS Diesel RxL Plus,6974
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,30800
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5,BMW,3 Series 320d,20405
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5,Maruti,S Cross DDiS 200 Alpha,9075
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5,Audi,A6 2011-2015 35 TFSI Technology,25850
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5,Hyundai,i20 1.2 Magna,2057
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5,Volkswagen,Vento Petrol Highline AT,3135
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5,Honda,City Corporate Edition,4675
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5,Nissan,Micra Diesel XV,4675
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5,Maruti,Alto K10 2010-2014 VXI,3025
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5,Honda,WRV i-VTEC VX,10890
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5,Renault,Duster 110PS Diesel RxZ Pack,8525
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5,Toyota,Corolla Altis G,7425
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7,Mahindra,Ssangyong Rexton RX7,13750
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5,Audi,A6 2.7 TDI,12650
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5,Volkswagen,Vento 1.6 Highline,7678
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5,Maruti,Wagon R LXI BSIII,2035
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5,Maruti,Vitara Brezza ZDi Plus,9493
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5,Mahindra,KUV 100 mFALCON G80 K6 5str AW,5335
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5,Mercedes-Benz,M-Class ML 350 CDI,30800
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5,Volkswagen,Polo Diesel Trendline 1.2L,5500
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,6138
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5,Hyundai,i20 Magna Optional 1.2,5214
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5,Hyundai,Elantra 2.0 SX Option AT,9735
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5,Toyota,Corolla Altis G AT,11121
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5,Hyundai,Elantra CRDi,4675
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7,Toyota,Innova Crysta 2.7 GX MT,12045
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5,Hyundai,Xcent 1.1 CRDi S,4235
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6,Mahindra,Thar CRDe AC,6050
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5,Audi,A4 2.0 TDI 177 Bhp Premium Plus,23573
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift LDI,4675
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5,Maruti,Swift Ldi BSIV,3630
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5,Maruti,Swift VDI,4235
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5,Hyundai,Grand i10 Sportz,3960
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5,Volkswagen,Vento 2013-2015 1.6 Comfortline,4389
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5,Renault,KWID RXT,3630
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Asta,2277
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5,Nissan,X-Trail SLX AT,8525
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5,Maruti,Zen Estilo VXI BSIII,2475
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8,Toyota,Innova Crysta 2.4 GX MT 8S,18150
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5,Ford,Figo Diesel Titanium,3025
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,29370
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5,Mercedes-Benz,New C-Class 200 CDI Classic,11000
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5,Audi,A4 2.0 TDI Multitronic,14850
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5,Honda,City ZX CVT,2035
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5,Mercedes-Benz,C-Class Progressive C 220d,39237
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7,Maruti,Ertiga SHVS VDI,8965
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5,Hyundai,Creta 1.4 E Plus Diesel,11550
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7,Mahindra,XUV500 W8 4WD,10615
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5,Hyundai,i10 Sportz 1.2 AT,3828
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5,Nissan,Terrano XV D Pre,7612
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5,Honda,Brio VX AT,7106
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5,Audi,A6 2.0 TDI Design Edition,32450
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7,Toyota,Innova 2.5 VX 7 STR BSIV,12925
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift VDI,4125
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5,Tata,Zest Revotron 1.2T XE,4950
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5,Honda,Amaze SX i-VTEC,5302
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5,Ford,Figo Diesel ZXI,3080
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5,Maruti,Ritz VDi,3421
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5,Honda,City i VTEC E,3575
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5,BMW,5 Series 2003-2012 525d,15290
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Sportz 1.2,2475
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5,Hyundai,Grand i10 Sportz,6325
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5,Honda,Amaze SX i-VTEC,5500
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7,Toyota,Fortuner 4x2 Manual,18150
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5,Audi,A6 2011-2015 35 TDI Premium,43538
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5,Ford,Ecosport 1.5 DV5 MT Titanium Optional,6050
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7,Mahindra,XUV500 W8 2WD,8910
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5,Honda,Amaze SX i-DTEC,3850
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5,Volkswagen,Polo Diesel Highline 1.2L,3069
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5,Hyundai,Verna Transform SX VGT CRDi,3795
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5,Maruti,Wagon R VXI BS IV,4895
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5,Volkswagen,Polo Petrol Highline 1.6L,2915
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5,Hyundai,i20 1.4 CRDi Sportz,4180
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5,Hyundai,i20 Asta 1.2,5115
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7,Datsun,GO Plus T Petrol,4345
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5,Audi,A4 3.0 TDI Quattro Premium,10780
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5,Hyundai,i20 2015-2017 Asta,2970
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5,Toyota,Etios Liva 1.2 G,4290
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7,Mahindra,XUV500 W8 2WD,6325
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5,Hyundai,Verna 1.6 SX CRDI (O) AT,5775
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7,Toyota,Innova Crysta 2.8 ZX AT,21175
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5,Maruti,Eeco 5 Seater AC,4301
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5,BMW,3 Series 320d Luxury Line,22825
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5,Honda,Civic 2006-2010 1.8 V MT,3685
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7,Toyota,Innova 2.5 VX (Diesel) 7 Seater,12221
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5,Volvo,V40 Cross Country D3,22000
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5,Nissan,Micra XV CVT,7205
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5,BMW,5 Series 2010-2013 525i,7700
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5,Maruti,Vitara Brezza VDi,8250
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5,Mercedes-Benz,B Class B200 CDI,18425
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5,Hyundai,Verna CRDi 1.6 SX Option,12045
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5,Maruti,Wagon R LXI BS IV,2695
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8,Mahindra,Scorpio VLX,8525
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5,Mercedes-Benz,New C-Class 200 K AT,10285
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,19.000000000000004,998.0,58.16,5,Maruti,Wagon R LXI CNG,3575
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5,Honda,CR-V 2.4 MT,5775
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5,Volkswagen,Vento 1.5 TDI Comfortline AT,7975
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5,Maruti,Ciaz VXi Plus,8217
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7,Mahindra,XUV500 AT W10 FWD,14575
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5,Maruti,Ritz VXI ABS,6391
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5,Maruti,Alto K10 VXI,2860
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5,Hyundai,Verna VTVT 1.6 AT SX Plus,12650
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5,BMW,1 Series 118d Base,18942
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5,Honda,Jazz 1.2 V CVT i VTEC,6600
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5,Honda,Civic 2006-2010 1.8 V MT,4345
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,19745
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5,Honda,Amaze SX i-DTEC,4070
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5,Maruti,Swift VVT VXI,5973
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7,Toyota,Fortuner 3.0 Diesel,14839
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5,Chevrolet,Beat LT Option,3135
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5,Skoda,Rapid 1.5 TDI Elegance,5225
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5,Maruti,Ciaz 1.4 Alpha,10890
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5,BMW,3 Series Luxury Line,29150
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5,Audi,A4 2.0 TDI 177 Bhp Premium Plus,25652
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift VDI,6875
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,10846
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5,Skoda,Superb Elegance 2.0 TDI CR AT,9350
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5,Hyundai,EON Magna Plus,4653
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5,Volkswagen,Polo Diesel Trendline 1.2L,3850
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5,Datsun,GO NXT,2750
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5,Honda,Brio S MT,2629
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5,Mercedes-Benz,B Class B180,12375
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5,Honda,City i DTEC V,7821
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7,Toyota,Innova 2.5 G (Diesel) 7 Seater,11990
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5,Maruti,Swift VXI Optional,6820
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7,Mahindra,XUV500 W8 2WD,8690
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5,Ford,Ecosport 1.5 DV5 MT Ambiente,4862
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7,Toyota,Fortuner 4x2 Manual,14850
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,6875
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5,Ford,Figo Diesel Titanium,2310
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5,BMW,X5 xDrive 30d,49500
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5,Mercedes-Benz,New C-Class C 220 CDI Style,37025
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5,Honda,Brio V MT,4015
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Magna 1.2,3025
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5,Mercedes-Benz,GLC 220,46750
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5,Audi,A6 2011-2015 2.0 TDI Premium Plus,20900
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5,Volkswagen,Vento Petrol Highline AT,4895
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5,Mini,Countryman Cooper D,25300
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5,Hyundai,i20 Asta 1.4 CRDi,9185
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5,Audi,A6 2011-2015 2.0 TDI Premium Plus,25245
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5,Chevrolet,Beat Diesel LT,1650
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5,Skoda,Superb Elegance 1.8 TSI AT,7579
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5,BMW,5 Series 520d Luxury Line,36850
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5,Chevrolet,Optra Magnum 1.6 LS BS3,1375
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5,Volkswagen,Polo Diesel Highline 1.2L,4620
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8,Renault,Lodgy 110PS RxZ 8 Seater,7425
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5,Mercedes-Benz,E-Class E250 CDI Avantgrade,35200
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5,Maruti,Baleno Alpha,8250
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5,Hyundai,Verna 1.6 SX,5060
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5,Hyundai,i10 Magna 1.1,4444
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7,Mahindra,Scorpio 1.99 S10 4WD,11341
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5,Land,Rover Range Rover 2.2L Dynamic,61336
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5,Ford,Figo Diesel ZXI,2860
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7,Maruti,Ertiga ZDI,9350
Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1493.0,100.0,0,Honda,City 1.5 GXI,3245
Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5,Honda,Amaze S i-Dtech,3850
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Magna,3905
